,FIFO,FIFO,FIFO,Optiaml,Optiaml,Optiaml,ESC,ESC,ESC,LFU_DA,LFU_DA,LFU_DA
,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes
Frame Count,,,,,,,,,,,,
10,103365,154925,51560,80488,120614,40126,103329,153153,49824,103278,155406,50928
20,86838,130147,43309,64311,96322,32011,87102,127279,40177,86864,130303,42239
30,71594,107254,35660,55064,82448,27384,71956,105127,33171,71638,107636,34798
40,63357,94902,31545,50345,75354,25009,63804,94137,30333,63346,95575,31029
50,60185,90134,29949,47873,71665,23792,60630,90229,29599,60152,91244,29892
60,59643,89323,29680,46156,69110,22954,59905,89185,29280,59594,90400,29606
70,59129,88560,29431,44561,66699,22138,59297,88303,29006,59073,89609,29336
80,58595,87762,29167,43128,64501,21373,58727,87395,28668,58547,88818,29071
90,58110,87049,28939,41811,62521,20710,58152,86485,28333,58051,88078,28827
100,57549,86229,28680,40584,60683,20099,57607,85597,27990,57500,87274,28574
