,FIFO,FIFO,FIFO,Optiaml,Optiaml,Optiaml,ESC,ESC,ESC,LFU_DA,LFU_DA,LFU_DA
,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes
Frame Count,,,,,,,,,,,,
10,86457,129435,42978,51752,77366,25614,86241,125743,39502,87764,131578,42614
20,54432,81460,27028,25846,38531,12685,54419,75465,21046,57486,85288,26602
30,26145,39012,12867,12092,18019,5927,26634,35016,8382,29916,44063,12947
40,10819,16125,5306,6454,9595,3141,11675,15067,3392,13316,19931,5415
50,5084,7541,2457,4744,7021,2277,5870,8245,2375,6046,10012,2766
60,4945,7326,2381,4457,6581,2124,5557,7874,2317,5038,8637,2399
70,4902,7257,2355,4240,6259,2019,5131,7422,2291,4865,8395,2330
80,4842,7157,2315,4059,5979,1920,4914,7154,2240,4812,8307,2295
90,4816,7127,2311,3940,5796,1856,4898,7096,2198,4792,8282,2290
100,4757,7030,2273,3830,5631,1801,4847,7012,2165,4727,8173,2246
