,FIFO,FIFO,FIFO,Optiaml,Optiaml,Optiaml,ESC,ESC,ESC
,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes,Page Faults,Interrupts,Disk Writes
Frame Count,,,,,,,,,
10,118991,178422,59431,107766,161610,53844,119013,178341,59328
20,118046,176997,58951,101307,151883,50576,118017,176729,58712
30,117055,175492,58437,96497,144688,48191,117056,175140,58084
40,116074,174025,57951,92535,138750,46215,116015,173445,57430
50,115029,172440,57411,89101,133601,44500,115048,171872,56824
60,114052,170980,56928,86025,128952,42927,114063,170286,56223
70,113054,169497,56443,83244,124754,41510,113082,168657,55575
80,112049,167981,55932,80719,120986,40267,112050,166969,54919
90,111103,166565,55462,78383,117458,39075,111063,165389,54326
100,110002,164930,54928,76187,114165,37978,110015,163655,53640
